month,sales
1996-01-31,84.9932667677
1996-02-29,81.9482884562
1996-03-31,78.4220604179
1996-04-30,79.0174195056
1996-05-31,79.7484013781
1996-06-30,76.1285424241
1996-07-31,81.4224374523
1996-08-31,79.3463140474
1996-09-30,78.142062163
1996-10-31,80.2589672341
1996-11-30,80.5221214771
1996-12-31,78.3401183313
1997-01-31,84.2832667677
1997-02-28,83.5782884562
1997-03-31,81.9620604179
1997-04-30,87.6974195056
1997-05-31,83.5784013781
1997-06-30,81.8385424241
1997-07-31,85.2924374523
1997-08-31,86.7463140474
1997-09-30,83.822062163
1997-10-31,86.5889672341
1997-11-30,87.3521214771
1997-12-31,81.5201183313
1998-01-31,87.5332667677
1998-02-28,91.3482884562
1998-03-31,85.1120604179
1998-04-30,87.5374195056
1998-05-31,90.5584013781
1998-06-30,83.4885424241
1998-07-31,85.1024374523
1998-08-31,83.3263140474
1998-09-30,86.092062163
1998-10-31,83.0989672341
1998-11-30,83.1421214771
1998-12-31,81.9701183313
1999-01-31,87.2432667677
1999-02-28,87.7682884562
1999-03-31,83.3720604179
1999-04-30,85.8974195056
1999-05-31,91.8984013781
1999-06-30,88.9585424241
1999-07-31,99.6424374523
1999-08-31,96.0963140474
1999-09-30,96.322062163
1999-10-31,98.0689672341
1999-11-30,95.7521214771
1999-12-31,100.490118331
2000-01-31,100.983266768
2000-02-29,104.578288456
2000-03-31,108.392060418
2000-04-30,107.437419506
2000-05-31,109.018401378
2000-06-30,107.038542424
2000-07-31,109.292437452
2000-08-31,113.106314047
2000-09-30,116.292062163
2000-10-31,113.308967234
2000-11-30,113.232121477
2000-12-31,117.300118331
2001-01-31,106.253266768
2001-02-28,109.078288456
2001-03-31,111.232060418
2001-04-30,98.9074195056
2001-05-31,103.678401378
2001-06-30,103.508542424
2001-07-31,97.7924374523
2001-08-31,96.6863140474
2001-09-30,94.822062163
2001-10-31,93.3489672341
2001-11-30,97.6121214771
2001-12-31,98.5201183313
2002-01-31,95.2232667677
2002-02-28,95.3182884562
2002-03-31,96.3820604179
2002-04-30,93.5174195056
2002-05-31,94.2484013781
2002-06-30,94.4985424241
2002-07-31,89.8024374523
2002-08-31,92.6063140474
2002-09-30,92.242062163
2002-10-31,93.6389672341
2002-11-30,92.4521214771
2002-12-31,89.6701183313
2003-01-31,95.0132667677
2003-02-28,92.9582884562
2003-03-31,90.9620604179
2003-04-30,91.9674195056
2003-05-31,90.1284013781
2003-06-30,93.4685424241
2003-07-31,93.4724374523
2003-08-31,93.8863140474
2003-09-30,97.142062163
2003-10-31,96.8989672341
2003-11-30,97.3321214771
2003-12-31,97.7101183313
2004-01-31,95.4932667677
2004-02-29,98.8182884562
2004-03-31,97.2420604179
2004-04-30,97.9074195056
2004-05-31,97.4184013781
2004-06-30,96.7085424241
2004-07-31,97.8224374523
2004-08-31,96.4863140474
2004-09-30,98.192062163
2004-10-31,96.2189672341
2004-11-30,96.0421214771
2004-12-31,102.270118331
2005-01-31,97.2932667677
2005-02-28,96.5382884562
2005-03-31,97.5820604179
2005-04-30,98.4974195056
2005-05-31,96.0484013781
2005-06-30,101.198542424
2005-07-31,100.872437452
2005-08-31,100.176314047
2005-09-30,103.492062163
2005-10-31,102.058967234
2005-11-30,103.332121477
2005-12-31,102.930118331
2006-01-31,104.653266768
2006-02-28,105.818288456
2006-03-31,108.072060418
2006-04-30,109.857419506
2006-05-31,107.808401378
2006-06-30,111.698542424
2006-07-31,109.522437452
2006-08-31,107.376314047
2006-09-30,114.492062163
2006-10-31,114.188967234
2006-11-30,109.892121477
2006-12-31,108.900118331
2007-01-31,109.483266768
2007-02-28,110.058288456
2007-03-31,117.652060418
2007-04-30,111.037419506
2007-05-31,113.178401378
2007-06-30,115.338542424
2007-07-31,110.422437452
2007-08-31,110.856314047
2007-09-30,114.582062163
2007-10-31,113.858967234
2007-11-30,112.012121477
2007-12-31,115.830118331
2008-01-31,114.913266768
2008-02-29,111.728288456
2008-03-31,113.322060418
2008-04-30,114.967419506
2008-05-31,107.948401378
2008-06-30,110.088542424
2008-07-31,105.162437452
2008-08-31,106.096314047
2008-09-30,102.052062163
2008-10-31,100.998967234
2008-11-30,96.3021214771
2008-12-31,89.7001183313
2009-01-31,82.8932667677
2009-02-28,81.0982884562
2009-03-31,78.3320604179
2009-04-30,80.4374195056
2009-05-31,78.9084013781
2009-06-30,77.8285424241
2009-07-31,81.3824374523
2009-08-31,82.1163140474
2009-09-30,80.562062163
2009-10-31,81.5189672341
2009-11-30,84.1621214771
2009-12-31,90.9701183313
2010-01-31,84.7232667677
2010-02-28,84.4882884562
2010-03-31,86.3420604179
2010-04-30,90.7974195056
2010-05-31,89.7384013781
2010-06-30,95.4285424241
2010-07-31,90.9624374523
2010-08-31,94.5363140474
2010-09-30,88.322062163
2010-10-31,91.0989672341
2010-11-30,97.2221214771
2010-12-31,89.8101183313
2011-01-31,97.0332667677
2011-02-28,93.7482884562
2011-03-31,95.3520604179
2011-04-30,94.9074195056
2011-05-31,97.1384013781
2011-06-30,94.4585424241
2011-07-31,94.3424374523
2011-08-31,93.3163140474
2011-09-30,86.642062163
2011-10-31,88.7389672341
2011-11-30,88.2121214771
